row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,4.mzML Peak area,6.mzML Peak area,1.mzML Peak area,2.mzML Peak area,10.mzML Peak area,12.mzML Peak area,9.mzML Peak area,3.mzML Peak area,11.mzML Peak area,8.mzML Peak area,7.mzML Peak area,5.mzML Peak area,30.mzML Peak area,21.mzML Peak area,28.mzML Peak area,20.mzML Peak area,19.mzML Peak area,36.mzML Peak area,13.mzML Peak area,18.mzML Peak area,24.mzML Peak area,15.mzML Peak area,14.mzML Peak area,35.mzML Peak area,38.mzML Peak area,40.mzML Peak area,41.mzML Peak area,22.mzML Peak area,29.mzML Peak area,32.mzML Peak area,34.mzML Peak area,33.mzML Peak area,16.mzML Peak area,23.mzML Peak area,17.mzML Peak area,47.mzML Peak area,37.mzML Peak area,A20.mzML Peak area,42.mzML Peak area,A10.mzML Peak area,39.mzML Peak area,52.mzML Peak area,44.mzML Peak area,31.mzML Peak area,27.mzML Peak area,48.mzML Peak area,26.mzML Peak area,25.mzML Peak area,Blank_2.mzML Peak area,Blank_6.mzML Peak area,Blank_5.mzML Peak area,A12.mzML Peak area,A22.mzML Peak area,B12.mzML Peak area,54.mzML Peak area,A11.mzML Peak area,46.mzML Peak area,45.mzML Peak area,43.mzML Peak area,49.mzML Peak area,Blank_3.mzML Peak area,Blank_1.mzML Peak area,Blank_4.mzML Peak area,SixMix_3.mzML Peak area,SixMix_4.mzML Peak area,B22.mzML Peak area,B20.mzML Peak area,A21.mzML Peak area,51.mzML Peak area,B11.mzML Peak area,53.mzML Peak area,50.mzML Peak area,SixMix_1.mzML Peak area,SixMix_2.mzML Peak area,SixMix_0.mzML Peak area,SixMix_7.mzML Peak area,B10.mzML Peak area,A31.mzML Peak area,A32.mzML Peak area,B32.mzML Peak area,C11.mzML Peak area,B21.mzML Peak area,C10.mzML Peak area,SixMix_8.mzML Peak area,B31.mzML Peak area,SixMix_5.mzML Peak area,C30.mzML Peak area,B30.mzML Peak area,SixMix_9.mzML Peak area,SixMix_6.mzML Peak area,C22.mzML Peak area,C32.mzML Peak area,C12.mzML Peak area,C20.mzML Peak area,A30.mzML Peak area,C21.mzML Peak area,PoolQC_5.mzML Peak area,C31.mzML Peak area,PoolQC_2.mzML Peak area,PoolQC_6.mzML Peak area,PoolQC_12.mzML Peak area,PoolQC_11.mzML Peak area,PoolQC_8.mzML Peak area,PoolQC_1.mzML Peak area,PoolQC_10.mzML Peak area,PoolQC_3.mzML Peak area,PoolQC_4.mzML Peak area,PoolQC_7.mzML Peak area,PoolQC_9.mzML Peak area,
8139,101.07131253237846,6.8479,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.13785,0,0,0,0,0,0,0,0,903.85297,0,0,357.94922,0,0,0,0,0,309.63495,236.71913,0,0,0,0,0,0,0,442.90903,0,0,677.9725,3042.8486,263.1371,902.2341,937.8716,0,0,0,0,334.9076,0,0,682.4606,750.3351,765.0411,161.75885,205.172,0,618.05164,288.27045,0,796.10895,0,452.7849,572.95276,751.0425,0,320.68866,0,323.966,927.33234,0,535.8679,0,0,636.60394,0,595.5853,0,0,0,0,0,0,0,0,0,0,0,
1783,102.03415502090421,2.8421092,,,,,,,,,,,178304.19,58818.72,47334.79,26529.787,114408.555,54713.78,31806.621,55650.758,28995.812,18046.314,14299.179,107023.66,84741.27,42821.027,53161.46,52023.133,92263.3,33688.2,108185.33,43864.617,51671.945,38889.207,54405.01,33091.414,89213.84,57283.074,46432.836,45712.074,63787.37,50227.258,101613.78,37436.207,29359.809,82239.695,26102.672,23075.613,101558.99,7832.735,96157.445,13152.952,42102.832,29781.312,76681.22,48323.77,11317.154,20454.729,28983.797,39951.1,25361.473,14746.634,88337.48,63043.88,54719.68,64441.266,27713.398,32817.01,26717.137,23550.273,40126.605,61494.78,20455.9,68710.734,38401.31,32164.555,68398.305,14608.324,40235.285,82366.73,31979.791,130218.35,31561.518,59384.0,18794.947,27003.615,39476.78,24726.988,30214.822,13438.82,56769.613,30126.246,33700.074,32948.61,13274.719,47082.945,33496.7,68732.82,0,53487.992,58970.914,60548.285,10781.879,0,20253.23,24969.418,34910.14,0,12358.016,41119.508,11115.176,44207.125,12842.018,15800.314,21839.457,17161.648,20139.639,10919.58,12321.767,10669.162,20078.162,
4705,102.03417439170988,4.5422645,,,,231,,,,,,,51358.54,45865.305,54163.883,23569.486,27122.285,51229.13,41062.4,45416.44,47590.426,74649.82,18026.816,29622.502,22307.707,36272.086,141011.27,65348.293,25408.266,48302.664,67808.9,50556.656,116706.36,60425.64,23306.703,105127.92,42638.277,43955.805,106809.484,70619.445,61771.895,35270.78,49174.758,91352.32,44765.734,119878.7,24875.959,51653.387,70836.97,63667.402,94627.17,22856.145,13737.951,31071.129,11954.049,80244.11,31795.803,89742.62,30976.01,114650.69,18731.62,41319.395,17003.406,27131.271,102653.95,11370.975,78276.875,33821.875,26986.217,36767.273,18693.242,22354.148,38426.91,58106.34,36223.547,47076.934,29278.248,23130.967,61760.97,34998.953,33746.36,41578.957,41238.688,78983.445,52239.164,23860.14,26392.477,27967.969,41848.496,39318.223,44494.363,23121.656,46249.992,65482.133,51033.7,57020.28,20767.188,33746.79,3865.379,21009.04,17088.707,40473.293,33797.68,56149.66,27882.355,14020.33,40648.645,7941.674,107713.34,5594.704,79524.52,51879.73,3733.5679,26022.504,10926.936,21512.95,36146.688,46562.977,26613.703,13884.413,68325.84,
4326,102.03418290656947,4.2418833,,,,191,,,,,,,48685.207,25742.545,44978.89,62897.707,21325.652,87492.75,92803.39,89261.02,16363.271,45015.098,53950.7,15624.084,43442.14,60345.465,54535.52,65348.293,38513.004,156548.06,27678.494,27836.576,70752.195,19266.434,21089.514,54682.242,39028.7,71711.266,56409.65,25483.656,48367.918,48939.34,50337.938,56509.53,54055.08,119878.7,16016.5,96563.86,70836.97,83365.26,27174.387,36462.5,40186.848,31717.225,32866.18,80244.11,46157.586,37318.805,24581.238,114650.69,26138.299,29783.035,33641.797,27131.271,58480.062,33275.816,30477.426,22320.688,62229.23,34802.42,18693.242,13297.736,36673.21,23511.277,26527.309,48128.695,87665.3,49724.07,12925.895,28109.467,35284.504,77490.05,34656.223,30998.098,32385.582,83808.68,40680.242,46318.645,43799.355,161266.03,20051.344,10753.018,24316.354,46015.066,11946.428,57693.82,26777.254,103050.81,5792.5547,14446.764,25440.857,25011.174,18129.523,27142.605,27882.355,7415.8516,97427.44,47058.996,101792.68,5594.704,48293.164,23167.168,42017.05,4397.4473,13446.15,21512.95,83261.89,31843.203,88520.68,35896.637,63027.117,
3869,102.03418703638519,3.9419448,,,,,,,,,,,37785.684,22260.633,44978.89,64193.117,26834.184,78675.95,79354.03,54279.78,16363.271,60966.64,28261.475,19254.871,39354.89,32362.092,62465.125,81375.5,41286.246,43202.367,34580.574,68915.69,45374.438,52750.5,32998.78,86702.83,38697.055,30315.715,56409.65,51724.156,43297.84,57145.914,28226.11,54324.836,13939.537,47007.28,124388.39,64142.305,58553.17,85505.586,38145.56,22584.473,46492.746,35785.87,22364.373,58223.094,74357.63,37107.098,29559.793,70212.26,33937.01,36102.395,48995.156,37073.734,20182.719,62309.117,49484.97,17049.59,30135.2,53940.66,35198.742,13297.736,45662.316,14331.92,27903.254,14535.107,47982.88,42786.484,56758.523,109993.66,52618.477,46980.0,66299.42,30998.098,68270.21,72253.74,17890.023,39024.656,44005.812,41499.203,53116.773,20067.299,26344.143,52283.113,40329.51,66752.26,50191.836,55373.84,31636.25,127044.17,25440.857,26222.006,18129.523,27142.605,11593.232,19067.291,25941.668,28477.8,60087.652,61992.613,41989.926,31987.408,7395.4067,52314.4,56921.754,13135.712,63474.734,5486.862,9717.557,32536.627,64906.336,
3929,102.03418731075527,3.9961007,,,,,,,,,,,48685.207,34910.695,44978.89,54240.19,40004.223,119478.5,92803.39,35255.46,16363.271,60966.64,53950.7,15624.084,43442.14,32362.092,50455.45,81375.5,138724.64,33288.75,34580.574,70830.266,52836.824,97922.67,32998.78,40674.793,38697.055,30315.715,56409.65,51724.156,53048.336,57145.914,43151.43,54324.836,54055.08,47007.28,16016.5,8069.7754,58553.17,85505.586,38145.56,36462.5,46492.746,35785.87,32866.18,58223.094,32956.617,37107.098,24581.238,70212.26,33937.01,36102.395,61596.734,29139.04,20182.719,62309.117,49484.97,22320.688,30135.2,34802.42,35198.742,13297.736,36673.21,14331.92,51892.418,14535.107,43761.3,42786.484,56758.523,27460.096,34039.242,76576.59,58946.656,30998.098,68270.21,91051.15,17890.023,36584.78,41043.03,42310.188,53116.773,20067.299,26344.143,52283.113,11946.428,26080.049,50191.836,103050.81,42672.965,127044.17,25440.857,28685.758,18129.523,27142.605,11593.232,7415.8516,33272.438,28477.8,60087.652,61992.613,41989.926,31987.408,7395.4067,62508.527,67599.64,13135.712,63474.734,5486.862,9717.557,32536.627,46749.734,
4179,102.03419120316234,4.1536984,,,,,,,,,,,48685.207,37016.875,44978.89,62897.707,40004.223,61330.89,92803.39,89261.02,16363.271,45015.098,53950.7,15624.084,43442.14,60345.465,54535.52,81375.5,38513.004,157211.4,34580.574,70830.266,70752.195,97922.67,50645.46,40674.793,51582.46,71711.266,56409.65,25483.656,59022.977,61749.76,43151.43,35810.844,54055.08,39511.63,16016.5,30299.992,50849.633,5992.5596,27174.387,36462.5,40186.848,96526.72,32866.18,22487.902,38240.25,37318.805,24581.238,19554.13,41647.66,18247.305,67247.07,46757.64,60029.812,33275.816,43032.44,22320.688,62229.23,34802.42,10890.331,13297.736,36673.21,55347.957,51892.418,71612.29,87665.3,49724.07,12925.895,64297.6,35284.504,77490.05,34656.223,30998.098,32385.582,83808.68,21265.316,36584.78,43799.355,91334.914,40763.516,36289.594,24316.354,73183.56,45825.25,57693.82,50191.836,103050.81,32723.314,23799.922,25440.857,60417.6,18129.523,27142.605,21643.002,7415.8516,33272.438,28477.8,60087.652,6161.96,41989.926,23167.168,42979.945,4397.4473,13446.15,12185.78,49885.67,12241.936,113581.305,35896.637,46749.734,
3312,102.03419454738187,3.566671,,,,545,,,,,,,53743.14,123976.41,92110.445,62338.42,83893.5,104045.69,33404.65,58512.434,94989.05,40425.26,35189.375,132684.95,44569.508,27204.887,92339.164,66322.05,50956.17,29778.133,77433.586,26918.422,69139.945,64906.473,66170.06,54288.18,162258.36,117665.11,81255.92,77878.89,38534.203,64307.633,57745.203,48330.098,42996.36,30248.062,25297.604,41841.855,51226.14,48261.387,135370.36,84149.43,105582.17,40430.688,23683.344,73299.84,60018.625,56681.48,55537.53,43439.246,99053.164,28950.303,45927.402,29616.271,67548.125,33136.34,97021.8,56841.38,69261.6,23968.043,60924.387,37412.492,34088.133,24880.146,54591.805,36678.625,42727.74,189284.62,57081.008,49301.637,65730.67,13545.297,14407.762,85684.79,84866.44,100310.8,56537.305,37970.277,28217.486,7826.0083,13718.445,26723.682,13842.668,54487.266,30991.723,41917.58,52205.48,42057.46,18919.348,15818.934,37323.31,34180.938,4774.1226,5701.8125,49169.473,19067.291,6488.621,23433.441,82009.32,67900.6,20981.023,24843.652,49057.55,20218.598,23380.709,91216.12,43352.914,38974.6,37090.34,7915.6187,61153.34,
2475,102.03419695788817,3.1875284,,,,332,,,,,,,48118.98,64105.195,68046.54,44214.81,41529.473,49232.68,52517.35,91524.34,37675.13,47265.703,58157.137,216406.77,47505.04,39758.28,38154.46,16914.807,64291.62,24551.605,89263.04,87216.09,83048.2,66090.63,89078.01,53088.008,106696.24,110615.9,52785.93,20001.465,23664.008,94732.63,101613.78,51096.246,71545.65,132221.47,111808.64,43117.426,87110.336,16002.311,134469.86,59466.215,45192.613,99946.58,32905.91,87016.31,59970.87,164025.97,88446.4,17987.645,31448.914,35632.227,51086.586,17995.04,45198.477,40206.508,29676.53,29051.408,101291.7,25066.137,33025.508,61982.523,26151.826,41473.11,27602.084,78256.12,108674.52,74200.76,43399.277,36494.617,38767.793,57702.547,14166.029,56135.4,28424.195,42444.13,47028.77,32378.553,79747.87,42842.734,4738.7573,47544.23,9529.329,6710.6416,10656.973,69011.99,152047.77,22747.906,15523.462,25155.227,31096.105,20366.602,7095.5083,113208.53,61508.37,37289.566,13712.5,14948.569,31986.064,7578.75,92167.2,14254.58,23138.367,15800.314,41460.72,62297.27,33990.65,41232.33,24739.133,11691.299,25350.568,
7535,102.12802774372207,6.4035687,,,,,,,,,,,0,1022.1238,0,6201.577,0,1862.8057,0,0,0,570.8075,1441.1732,32592.434,0,0,0,0,0,16863.588,0,4885.797,2492.323,51278.51,0,6319.7944,5382.47,0,0,0,2988.2678,516.8141,521.70624,0,1058.2781,5633.407,6641.199,509.04883,0,0,0,0,5931.6445,0,324.54102,0,0,797.6703,601.44446,0,203.80905,1834.5322,16125.414,0,0,4589.1865,2387.3975,1164.0045,368.8606,0,18681.166,1409.8262,0,0,401.69342,175.13007,211.74825,63152.88,655.56903,2235.6448,0,256.38712,0,7001.9956,0,0,0,1024.281,716.482,0,0,0,1093.3967,0,14844.515,3419.771,0,193.04669,846.28906,1729.8755,11774.705,552.6372,0,799.2439,667.40234,0,0,436.54126,0,0,0,0,2145.1858,0,0,0,1652.0647,0,0,0,1738.7104,
