Order,Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 Study,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name,,,,,
1,Unknown,Blank_1,,,,,,Y:G10,5,0,0,0,0,1,,,,,,,,,,,,
2,Unknown,Blank_2,,,,,,Y:G10,5,0,0,0,0,1,,,,,,,,,,,,
3,Unknown,Blank_3,,,,,,Y:G10,5,0,0,0,0,1,,,,,,,,,,,,
4,Unknown,SixMix_1,,,,,,G:A1,5,0,0,0,0,1,,,,,,,,,,,,
5,Unknown,PoolQC_1,,,,,,Y:G12,5,0,0,0,0,1,,,,,,,,,,,,
6,Unknown,PoolQC_2,,,,,,Y:G12,5,0,0,0,0,1,,,,,,,,,,,,
7,Unknown,PoolQC_3,,,,,,Y:G12,5,0,0,0,0,1,,,,,,,,,,,,
8,Unknown,PoolQC_4,,,,,,Y:G12,5,0,0,0,0,1,,,,,,,,,,,,
9,Unknown,A10,,,,,,Y:A1,5,0,0,0,0,1,,,,,,,,,,,,
10,Unknown,30,,,,,,Y:E9,5,0,0,0,0,1,,,,,,,,,,,,
11,Unknown,51,,,,,,Y:G6,5,0,0,0,0,1,,,,,,,,,,,,
12,Unknown,B21,,,,,,Y:B2,5,0,0,0,0,1,,,,,,,,,,,,
13,Unknown,47,,,,,,Y:G2,5,0,0,0,0,1,,,,,,,,,,,,
14,Unknown,C22,,,,,,Y:B12,5,0,0,0,0,1,,,,,,,,,,,,
15,Unknown,28,,,,,,Y:E7,5,0,0,0,0,1,,,,,,,,,,,,
16,Unknown,14,,,,,,Y:D5,5,0,0,0,0,1,,,,,,,,,,,,
17,Unknown,22,,,,,,Y:E1,5,0,0,0,0,1,,,,,,,,,,,,
18,Unknown,B32,,,,,,Y:B6,5,0,0,0,0,1,,,,,,,,,,,,
19,Unknown,SixMix_2,,,,,,G:A1,5,0,0,0,0,1,,,,,,,,,,,,
20,Unknown,PoolQC_5,,,,,,Y:G12,5,0,0,0,0,1,,,,,,,,,,,,
21,Unknown,A32,,,,,,Y:A9,5,0,0,0,0,1,,,,,,,,,,,,
22,Unknown,4,,,,,,Y:C7,5,0,0,0,0,1,,,,,,,,,,,,
23,Unknown,42,,,,,,Y:F9,5,0,0,0,0,1,,,,,,,,,,,,
24,Unknown,A31,,,,,,Y:A8,5,0,0,0,0,1,,,,,,,,,,,,
25,Unknown,A22,,,,,,Y:A6,5,0,0,0,0,1,,,,,,,,,,,,
26,Unknown,37,,,,,,Y:F4,5,0,0,0,0,1,,,,,,,,,,,,
27,Unknown,A20,,,,,,Y:A4,5,0,0,0,0,1,,,,,,,,,,,,
28,Unknown,A12,,,,,,Y:A3,5,0,0,0,0,1,,,,,,,,,,,,
29,Unknown,C31,,,,,,Y:C2,5,0,0,0,0,1,,,,,,,,,,,,
30,Unknown,31,,,,,,Y:E10,5,0,0,0,0,1,,,,,,,,,,,,
